 destination distance_m duration_s origin v_ave_kmph
0 26260 2183552.0 71658.0 77504 109.69866867621201
1 86039 1673975.0 61699.0 35027 97.67273375581452
2 50870 4309451.0 159787.0 40141 97.09190109333048
3 58147 1031200.0 43204.0 87380 85.9253772798815
4 61604 621530.0 21627.0 54743 103.45900957136914
5 12010 997935.0 34506.0 43070 104.11424100156496
6 86277 5234142.0 210012.0 76743 89.72302154162621
7 22842 229822.0 10631.0 15470 77.82515285485843
8 37408 3390822.0 122334.0 41946 99.78386384815342
9 52700 2115096.0 98017.0 93480 77.68392829815234
10 64619 928780.0 31915.0 76180 104.76603477988407
11 66150 7009117.0 270793.0 62986 93.18121664887941
12 48520 1724234.0 82734.0 85506 75.02649938356663
13 54942 3539324.0 115897.0 93603 109.93870764558186
14 21902 156049.0 5820.0 8620 96.52515463917528
15 63407 1165829.0 58260.0 62144 72.03886714727084
16 59262 2206472.0 73155.0 72478 108.5817674800082
17 93650 4441349.0 142938.0 23890 111.85868278554337
18 89899 7099528.0 300685.0 74240 85.00025209105875
19 99014 1979388.0 62520.0 56540 113.97627639155468
20 26270 1968191.0 67242.0 56528 105.37294548050328
21 61745 2740320.0 95644.0 20926 103.14449416586508
22 51453 3440942.0 120167.0 39580 103.08480031955528
23 28450 615638.0 22733.0 20610 97.49249109224476
24 23896 857136.0 29590.0 51378 104.28150050692804
25 64040 796834.0 28038.0 60697 102.31123475283545
26 41944 4363258.0 154759.0 20266 101.49799882397792
27 55308 1060441.0 33930.0 69171 112.51363395225464
28 80331 2036457.0 77416.0 79050 94.69935413867935
29 45118 2495398.0 82687.0 67257 108.6438351857003
30 99390 3131886.0 107699.0 25932 104.68796924762532
31 85297 2719525.0 86476.0 36480 113.2139553170822
32 32599 3137243.0 100534.0 22205 112.3408478723616
33 1170 32236.0 2110.0 9860 54.99981042654028
34 43749 1436544.0 47856.0 74080 108.06499498495485
35 76149 5330036.0 260919.0 35350 73.54056086371635
36 33194 330150.0 12853.0 33860 92.47179646775072
37 51937 3656547.0 179367.0 37672 73.38902473699177
38 20020 4520201.0 144315.0 94549 112.75836607421266
39 40537 299344.0 14214.0 53489 75.81528070915998
40 47639 2660358.0 85375.0 85130 112.17907818448023
41 40423 281552.0 10239.0 45405 98.99279226486964
42 76150 2266652.0 86046.0 86069 94.83238267903215
43 30830 1020600.0 35424.0 63730 103.71951219512195
44 47519 3057637.0 108923.0 61149 101.0575654361338
45 38013 1092970.0 55059.0 42260 71.46319402822428
46 99700 2655384.0 93329.0 31203 102.42670981152695
47 63195 1435428.0 47098.0 23076 109.71890101490507
48 38420 1726274.0 88993.0 21188 69.83230591170091
49 78660 1023142.0 34434.0 72565 106.96727652901205
50 37257 2062573.0 70769.0 81479 104.92253387782786
51 29869 5105801.0 209965.0 76125 87.54260757745338
52 35112 1016117.0 32898.0 34270 111.19281415283605
53 24550 2794120.0 95560.0 81642 105.2619506069485
54 37800 740586.0 35096.0 80143 75.96619557784364
55 88990 1091774.0 37596.0 74736 104.54267475263326
56 32408 1875169.0 65981.0 68402 102.31139873599977
57 55755 525499.0 22443.0 89670 84.2933832375351
58 55738 1953387.0 64756.0 36250 108.59523750694916
59 55330 3594213.0 127223.0 95870 101.70461944774135
60 94151 2862246.0 94049.0 58254 109.56082042339632
61 78933 1875419.0 62301.0 24647 108.36918187509028
62 40337 1076713.0 36704.0 32310 105.60611377506541
63 1730 4499202.0 157036.0 91808 103.14276471637078
64 81427 2078529.0 71905.0 42040 104.06375634517772
65 23454 414928.0 15180.0 21210 98.40189723320158
66 72016 274539.0 11274.0 72377 87.66546035125067
67 99316 2739172.0 122182.0 32700 80.707626327937
68 75140 1783288.0 59319.0 26342 108.22564102564102
69 79485 1911652.0 72842.0 70350 94.47773537244996
70 23923 2739307.0 91932.0 67288 107.26956010964622
71 40163 402547.0 17613.0 31690 82.27838528359736
72 62715 875799.0 28501.0 39750 110.62336058383914
73 31136 769920.0 25994.0 23920 106.62891436485344
74 45519 1296746.0 47396.0 70610 98.4953498185501
75 36207 1757023.0 57975.0 88810 109.10362742561449
76 40132 1222413.0 57538.0 56400 76.48313810003823
77 23068 3843791.0 133088.0 58337 103.97366855013223
78 43053 876884.0 39130.0 63449 80.67422438027089
79 5330 995863.0 35141.0 50850 102.02062548020832
80 36955 6702518.0 261456.0 67195 92.28728657976869
81 22427 2443486.0 78833.0 78604 111.58461050575266
82 54020 2749742.0 87044.0 89160 113.72491153899176
83 25724 1293675.0 44791.0 55960 103.9769150052466
84 34517 3465590.0 148731.0 35320 83.88381709260342
85 54455 687681.0 22767.0 56525 108.73859533535379
86 98067 3557257.0 141919.0 51428 90.23545261733808
87 22125 4333890.0 154201.0 29000 101.17965512545315
88 22785 4892754.0 221305.0 69016 79.59112717742481
89 23450 4198426.0 133668.0 21387 113.07368704551577
90 86656 7665917.0 301463.0 67195 91.54457163897396
91 67860 513201.0 19453.0 79082 94.97371099573331
92 70511 1427561.0 46246.0 47270 111.12787268088051
93 40665 3486147.0 120959.0 61275 103.75523276482114
94 20437 501766.0 17713.0 44440 101.97920171625358
95 27505 2164714.0 74119.0 55768 105.14133218203159
96 22860 2358612.0 79623.0 70338 106.64008138351984
97 78576 1777866.0 69588.0 83106 91.97444386963272
98 34130 541056.0 32073.0 78434 60.730259096436264
99 33980 5063208.0 161226.0 97203 113.05588924863235
100 27515 434312.0 15043.0 22046 103.93692747457293
101 79960 1198152.0 37861.0 75855 113.92586566651698
102 20120 556492.0 20278.0 6720 98.79530525692869
103 50664 218361.0 8661.0 50228 90.76314513335643
104 63576 5850736.0 287787.0 30382 73.18832886822545
105 75120 2244975.0 69909.0 22647 115.60614513152815
106 72150 2277142.0 79942.0 54900 102.5457356583523
107 16725 645038.0 23903.0 25057 97.14834121240013
108 66634 870643.0 59106.0 90750 53.028707745406564
109 65002 2339744.0 86956.0 80800 96.86598279589678
110 59750 2339510.0 71520.0 74030 117.76057046979868
111 97675 1728164.0 65886.0 29573 94.42659138511976
112 41240 840770.0 30700.0 28510 98.59192182410423
113 90780 2444460.0 89480.0 36540 98.34662494412159
114 39840 2645076.0 96055.0 36960 99.13355473426684
115 43469 3845931.0 137875.0 96536 100.41959456029012
116 30160 722770.0 23911.0 24026 108.8190372631843
117 77569 5747042.0 222177.0 64160 93.12103052971277
118 89602 218855.0 12603.0 76160 62.51511544870271
119 40703 1060191.0 43215.0 78456 88.31858382506073
120 76221 1828355.0 72523.0 42359 90.75849040993893
121 39615 3837256.0 182274.0 54359 75.78766911353237
122 42210 1384928.0 46733.0 68870 106.68565681638245
123 78960 1913278.0 65395.0 43212 105.32610750057344
124 45118 2495342.0 82616.0 67192 108.73476324198704
125 87389 1731680.0 61624.0 39921 101.16266389718292
126 75719 4249349.0 174485.0 67907 87.67318909934951
127 91098 697521.0 27493.0 60257 91.3350889317281
128 93350 2534304.0 92681.0 63069 98.43974924741856
129 23910 2593408.0 86555.0 4470 107.86515856969557
130 71007 1024847.0 34235.0 38548 107.76834233971084
131 60433 1147999.0 38496.0 20303 107.35651496259352
132 28219 137110.0 4936.0 29045 99.9991896272285
133 38182 1220464.0 41904.0 78390 104.8508591065292
134 32599 2852133.0 89141.0 32901 115.18469391189241
135 65040 873231.0 30931.0 54963 101.63368788593971
136 36740 915509.0 29790.0 75050 110.63552870090635
137 70980 4800036.0 171294.0 11230 100.87994675820521
138 76118 2328128.0 76123.0 21920 110.1015566911446
139 55707 2681525.0 86422.0 64186 111.7017657540904
140 50319 1607603.0 53776.0 29623 107.61995685807794
141 71248 958614.0 32440.0 28870 106.38133168927251
142 42028 1836364.0 62273.0 78576 106.16014002858385
143 85890 1037498.0 40659.0 44530 91.86140337932562
144 78140 1691349.0 54099.0 30580 112.55025786058891
145 37800 3007784.0 107712.0 85096 100.52754010695186
146 49903 3568930.0 121449.0 94517 105.79047995454883
147 74419 3738607.0 130474.0 22810 103.15453806888728
148 94976 4212920.0 132492.0 32424 114.471152975274
149 1330 3644990.0 119172.0 84120 110.10945524116406
150 37715 2675004.0 93042.0 31572 103.50179918746372
151 99084 2001025.0 64242.0 40320 112.13365088260021
152 73010 1543659.0 51849.0 85140 107.17993403922932
153 90207 1835733.0 73657.0 59551 89.72180240846085
154 42083 1034485.0 35315.0 68422 105.4550757468498
155 31520 1577811.0 55615.0 75060 102.13287062842758
156 54030 2318432.0 90040.0 67600 92.69608174144821
157 20174 1305557.0 49175.0 77028 95.57712658871378
158 43750 3664190.0 126148.0 58688 104.56831658052448
159 55100 2417426.0 88040.0 79020 98.8497682871422
160 51575 1730617.0 56368.0 31206 110.52762560317913
161 34746 2905654.0 97457.0 34186 107.33302276901607
162 39840 3421467.0 109902.0 92106 112.07513239067532
163 39010 939459.0 31516.0 69930 107.31223505521005
164 62823 1110916.0 37126.0 75140 107.72228626838336
165 38060 417041.0 13816.0 37357 108.66731325998842
166 96380 245311.0 11610.0 29050 76.06542635658914
167 63185 2875296.0 101838.0 36264 101.64246744830022
168 90570 557984.0 21373.0 78398 93.98504655406354
169 31623 1916775.0 63350.0 88757 108.92486187845304
170 27054 2465569.0 82415.0 66445 107.69942850209308
171 76484 933938.0 31300.0 39107 107.4177891373802
172 37219 644225.0 21416.0 24333 108.2933320881584
173 94140 4532898.0 145853.0 20355 111.88273672807553
174 62790 1103724.0 47208.0 78537 84.16807320793086
175 33130 1423388.0 45659.0 37118 112.22753016929848
176 67190 2820568.0 117264.0 80780 86.59132214490381
177 40865 532902.0 20980.0 29828 91.44171591992377
178 38543 3970289.0 127288.0 97219 112.2889856074414
179 86360 1719956.0 80289.0 93182 77.11942607331018
180 29900 472565.0 22574.0 73320 75.36254097634448
181 78602 1370190.0 45749.0 63195 107.82058624232224
182 36150 913382.0 43352.0 76125 75.84829304299686
183 84269 455092.0 23957.0 31940 68.3863254998539
184 31060 2697420.0 97282.0 47090 99.82023395900578
185 95426 1892697.0 63935.0 83106 106.57244388832407
186 43470 5776302.0 257373.0 85444 80.79591565548834
187 95710 4916219.0 171070.0 99103 103.45699655111945
188 74691 5462106.0 220326.0 41841 89.2476675471801
189 80248 2249294.0 71200.0 31146 113.72834831460672
190 21472 2553886.0 84208.0 72030 109.1819019570587
191 76928 986860.0 41499.0 32545 85.60919540229884
192 93360 2066570.0 77804.0 72160 95.62043082617859
193 61270 311254.0 12130.0 62555 92.37546578730421
194 62730 3093273.0 106810.0 50360 104.25786724089504
195 78560 2036946.0 67429.0 34614 108.75151047768765
196 78422 900511.0 43343.0 39253 74.79499803889901
197 58297 3765514.0 126999.0 36993 106.73981999858265
198 85977 3233608.0 113544.0 47750 102.52403297400127
199 80226 1418844.0 46485.0 52159 109.88143272023235
200 24313 3845782.0 121594.0 92660 113.86100629965294
201 39750 3088724.0 98290.0 93534 113.12856241733648
202 29980 6397584.0 240305.0 53668 95.84196084143068
203 75718 2647142.0 97222.0 38028 98.02011067453869
204 62767 1177514.0 39678.0 73950 106.8362921518222
205 30797 4923145.0 178773.0 13119 99.13869544058669
206 88306 1419008.0 47902.0 66649 106.64333013235355
207 93835 3193997.0 126717.0 86088 90.74069935367788
208 40909 1961658.0 66445.0 37170 106.2829227180375
209 64106 3219802.0 117443.0 29057 98.69713137436884
210 22785 4310961.0 204940.0 97000 75.72684493022348
211 95281 3325145.0 118253.0 34972 101.2280618673522
